;name;unit;threshold;WUH_measured;name;unit;threshold;TIE_measured;name;unit;threshold;TEG_measured;name;unit;threshold;STO_measured;name;unit;threshold;SPA_measured;name;unit;threshold;KAU_measured;name;unit;threshold;BEE_measured;name;unit;threshold;KLA_measured
51;Chlortoluron;mg/l;0,0001;0,000025;Chlortoluron;mg/l;0,0001;0,000025;Chlortoluron;mg/l;0,0001;0,000025;Chlortoluron;mg/l;0,0001;0,000025;Chlortoluron;mg/l;0,0001;0,000025;Chlortoluron;mg/l;0,0001;0,000025;Chlortoluron;mg/l;0,0001;<0,000025;Chlortoluron;mg/l;0,0001;<0,000025
52;Desethylatrazin;mg/l;0,0001;0,000025;Desethylatrazin;mg/l;0,0001;0,000025;Desethylatrazin;mg/l;0,0001;0,000025;Desethylatrazin;mg/l;0,0001;0,000025;Desethylatrazin;mg/l;0,0001;0,000025;Desethylatrazin;mg/l;0,0001;0,000025;Desethylatrazin;mg/l;0,0001;<0,000025;Desethylatrazin;mg/l;0,0001;<0,000025
53;Desethylterbuthylazin;mg/l;0,0001;0,00003;Desethylterbuthylazin;mg/l;0,0001;0,00003;Desethylterbuthylazin;mg/l;0,0001;0,00003;Desethylterbuthylazin;mg/l;0,0001;0,00003;Desethylterbuthylazin;mg/l;0,0001;0,00003;Desethylterbuthylazin;mg/l;0,0001;0,00003;Desethylterbuthylazin;mg/l;0,0001;<0,00003;Desethylterbuthylazin;mg/l;0,0001;<0,00003
54;Desisopropylatrazin;mg/l;0,0001;0,000025;Desisopropylatrazin;mg/l;0,0001;0,000025;Desisopropylatrazin;mg/l;0,0001;0,000025;Desisopropylatrazin;mg/l;0,0001;0,000025;Desisopropylatrazin;mg/l;0,0001;0,000025;Desisopropylatrazin;mg/l;0,0001;0,000025;Desisopropylatrazin;mg/l;0,0001;<0,000025;Desisopropylatrazin;mg/l;0,0001;<0,000025
55;Diuron;mg/l;0,0001;0,000025;Diuron;mg/l;0,0001;0,000025;Diuron;mg/l;0,0001;0,000025;Diuron;mg/l;0,0001;0,000025;Diuron;mg/l;0,0001;0,000025;Diuron;mg/l;0,0001;0,000025;Diuron;mg/l;0,0001;<0,000025;Diuron;mg/l;0,0001;<0,000025
56;Ethofumesat;mg/l;0,0001;0,000040;Ethofumesat;mg/l;0,0001;0,000040;Ethofumesat;mg/l;0,0001;0,000040;Ethofumesat;mg/l;0,0001;0,000040;Ethofumesat;mg/l;0,0001;0,000040;Ethofumesat;mg/l;0,0001;0,000040;Ethofumesat;mg/l;0,0001;<0,000040;Ethofumesat;mg/l;0,0001;<0,000040
57;Isoproturon;mg/l;0,0001;0,000025;Isoproturon;mg/l;0,0001;0,000025;Isoproturon;mg/l;0,0001;0,000025;Isoproturon;mg/l;0,0001;0,000025;Isoproturon;mg/l;0,0001;0,000025;Isoproturon;mg/l;0,0001;0,000025;Isoproturon;mg/l;0,0001;<0,000025;Isoproturon;mg/l;0,0001;<0,000025
58;Metamitron;mg/l;0,0001;0,000025;Metamitron;mg/l;0,0001;0,000025;Metamitron;mg/l;0,0001;0,000025;Metamitron;mg/l;0,0001;0,000025;Metamitron;mg/l;0,0001;0,000025;Metamitron;mg/l;0,0001;0,000025;Metamitron;mg/l;0,0001;<0,000025;Metamitron;mg/l;0,0001;<0,000025
59;Metazachlor;mg/l;0,0001;0,000025;Metazachlor;mg/l;0,0001;0,000025;Metazachlor;mg/l;0,0001;0,000025;Metazachlor;mg/l;0,0001;0,000025;Metazachlor;mg/l;0,0001;0,000025;Metazachlor;mg/l;0,0001;0,000025;Metazachlor;mg/l;0,0001;<0,000025;Metazachlor;mg/l;0,0001;<0,000025
60;Methyldesphenylchloridazon;mg/l;0,0001;0,000025;Methyldesphenylchloridazon;mg/l;0,0001;0,000025;Methyldesphenylchloridazon;mg/l;0,0001;0,000025;Methyldesphenylchloridazon;mg/l;0,0001;0,000025;Methyldesphenylchloridazon;mg/l;0,0001;0,000025;Methyldesphenylchloridazon;mg/l;0,0001;0,000025;Methyldesphenylchloridazon;mg/l;0,0001;<0,000025;Methyldesphenylchloridazon;mg/l;0,0001;<0,000025
61;Metolachlor;mg/l;0,0001;0,000025;Metolachlor;mg/l;0,0001;0,000025;Metolachlor;mg/l;0,0001;0,000025;Metolachlor;mg/l;0,0001;0,000025;Metolachlor;mg/l;0,0001;0,000025;Metolachlor;mg/l;0,0001;0,000025;Metolachlor;mg/l;0,0001;<0,000025;Metolachlor;mg/l;0,0001;<0,000025
